235,INRU,Toba Pulp Lestari Tbk.,1.388.883.283,Pengembangan
236,INTA,Intraco Penta Tbk.,3.343.935.022,Pemantauan Khusus
237,INTD,Inter Delta Tbk,591.828.000,Pengembangan
238,INTP,Indocement Tunggal Prakarsa Tb,3.681.231.699,Utama
239,JIHD,Jakarta International Hotels &,2.329.040.482,Pemantauan Khusus
240,JKON,Jaya Konstruksi Manggala Prata,16.308.519.860,Utama
241,JKSW,Jakarta Kyoei Steel Works Tbk.,150.000.000,Pemantauan Khusus
242,JPFA,Japfa Comfeed Indonesia Tbk.,11.726.575.201,Utama
243,JRPT,Jaya Real Property Tbk.,13.750.000.000,Pengembangan
244,JSMR,Jasa Marga (Persero) Tbk.,7.257.871.200,Utama
245,JSPT,Jakarta Setiabudi Internasiona,2.318.736.000,Pengembangan
246,JTPE,Jasuindo Tiga Perkasa Tbk.,6.852.050.000,Utama
247,KAEF,Kimia Farma Tbk.,5.566.584.590,Pengembangan
248,KARW,Meratus Jasa Prima Tbk.,587.152.700,Pemantauan Khusus
249,KBLI,KMI Wire & Cable Tbk.,4.007.235.107,Utama
250,KBLM,Kabelindo Murni Tbk.,1.120.000.000,Pengembangan
251,KBLV,First Media Tbk.,1.742.167.907,Pemantauan Khusus
252,KBRI,Kertas Basuki Rachmat Indonesi,8.687.995.734,Pemantauan Khusus
253,KDSI,Kedawung Setia Industrial Tbk.,1.620.000.000,Pengembangan
254,KIAS,Keramika Indonesia Assosiasi T,14.929.100.000,Pemantauan Khusus
255,KICI,Kedaung Indah Can Tbk,276.000.000,Pengembangan
256,KIJA,Kawasan Industri Jababeka Tbk.,20.824.888.369,Utama
257,KKGI,Resource Alam Indonesia Tbk.,5.000.000.000,Utama
258,KLBF,Kalbe Farma Tbk.,46.875.122.110,Utama
259,KOBX,Kobexindo Tractors Tbk.,2.272.500.000,Pengembangan
260,KOIN,Kokoh Inti Arebama Tbk,980.843.732,Pemantauan Khusus
261,KONI,Perdana Bangun Pusaka Tbk,312.000.000,Pemantauan Khusus
262,KOPI,Mitra Energi Persada Tbk.,697.266.668,Pengembangan
263,KPIG,MNC Land Tbk.,97.557.129.263,Pengembangan
264,KRAH,Grand Kartech Tbk.,971.190.000,Pemantauan Khusus
265,KRAS,Krakatau Steel (Persero) Tbk.,19.346.396.900,Pengembangan
266,KREN,Quantum Clovera Investama Tbk.,18.208.470.100,Pemantauan Khusus
267,LAPD,Leyand International Tbk.,3.966.350.139,Pemantauan Khusus
268,LCGP,Eureka Prima Jakarta Tbk.,5.630.000.914,Pemantauan Khusus
269,LEAD,Logindo Samudramakmur Tbk.,5.799.616.328,Pengembangan
270,LINK,Link Net Tbk.,2.863.195.484,Pengembangan
271,LION,Lion Metal Works Tbk.,520.160.000,Pemantauan Khusus
272,LMAS,Limas Indonesia Makmur Tbk,787.851.525,Pemantauan Khusus
273,LMPI,Langgeng Makmur Industri Tbk.,1.008.517.669,Pengembangan
274,LMSH,Lionmesh Prima Tbk.,96.000.000,Pemantauan Khusus
275,LPCK,Lippo Cikarang Tbk,2.679.600.000,Utama
276,LPGI,Lippo General Insurance Tbk.,3.000.000.000,Pemantauan Khusus
277,LPIN,Multi Prima Sejahtera Tbk,425.000.000,Pengembangan
278,LPKR,Lippo Karawaci Tbk.,70.898.018.369,Utama
279,LPLI,Star Pacific Tbk,1.170.432.803,Pengembangan
280,LPPF,Matahari Department Store Tbk.,2.259.292.880,Utama
281,LPPS,Lenox Pasifik Investama Tbk.,2.588.250.000,Pengembangan
282,LRNA,Eka Sari Lorena Transport Tbk.,350.000.022,Pengembangan
283,LSIP,PP London Sumatra Indonesia Tb,6.819.963.965,Utama
284,LTLS,Lautan Luas Tbk.,1.560.000.000,Utama
285,MAGP,Multi Agro Gemilang Plantation,9.000.000.004,Pemantauan Khusus
286,MAIN,Malindo Feedmill Tbk.,2.238.750.000,Utama
287,MAMI,Mas Murni Indonesia Tbk,12.299.317.590,Pemantauan Khusus
288,MAPI,Mitra Adiperkasa Tbk.,16.600.000.000,Utama
289,MASA,Multistrada Arah Sarana Tbk.,9.182.946.945,Utama
290,MAYA,Bank Mayapada Internasional Tb,25.906.179.152,Utama
291,MBAP,Mitrabara Adiperdana Tbk.,1.227.271.952,Pengembangan
292,MBSS,Mitrabahtera Segara Sejati Tbk,1.750.026.639,Utama
293,MBTO,Martina Berto Tbk.,1.070.000.000,Pengembangan
294,MCOR,Bank China Construction Bank I,37.540.533.209,Utama
295,MDIA,Intermedia Capital Tbk.,39.215.538.400,Pemantauan Khusus
296,MDKA,Merdeka Copper Gold Tbk.,24.472.983.771,Utama
297,MDLN,Modernland Realty Tbk.,12.533.067.322,Utama
298,MDRN,Modern Internasional Tbk.,7.632.167.798,Pemantauan Khusus
299,MEDC,Medco Energi Internasional Tbk,25.136.231.252,Utama
300,MEGA,Bank Mega Tbk.,11.623.514.905,Utama
301,MERK,Merck Tbk.,448.000.000,Pengembangan
302,META,Nusantara Infrastructure Tbk.,17.710.708.194,Pemantauan Khusus
303,MFIN,Mandala Multifinance Tbk.,2.650.000.000,Utama
304,MFMI,Multifiling Mitra Indonesia Tb,757.581.000,Pemantauan Khusus
305,MGNA,Magna Investama Mandiri Tbk.,3.410.477.164,Pemantauan Khusus
306,MICE,Multi Indocitra Tbk.,600.000.000,Pengembangan
307,MIDI,Midi Utama Indonesia Tbk.,33.435.294.800,Utama
308,MIKA,Mitra Keluarga Karyasehat Tbk.,13.907.481.500,Utama
309,MIRA,Mitra International Resources ,3.961.452.039,Pemantauan Khusus
310,MITI,Mitra Investindo Tbk.,3.540.735.503,Pengembangan
311,MKPI,Metropolitan Kentjana Tbk.,948.194.000,Pengembangan
312,MLBI,Multi Bintang Indonesia Tbk.,2.107.000.000,Utama
313,MLIA,Mulia Industrindo Tbk,6.615.000.000,Utama
314,MLPL,Multipolar Tbk.,15.682.323.987,Utama
315,MLPT,Multipolar Technology Tbk.,1.875.000.000,Pengembangan
316,MMLP,Mega Manunggal Property Tbk.,6.889.134.608,Utama
317,MNCN,Media Nusantara Citra Tbk.,15.049.787.710,Utama
318,MPMX,Mitra Pinasthika Mustika Tbk.,4.462.963.276,Utama
319,MPPA,Matahari Putra Prima Tbk.,12.966.640.084,Utama
320,MRAT,Mustika Ratu Tbk.,428.000.000,Pengembangan
321,MREI,Maskapai Reasuransi Indonesia ,517.791.681,Pengembangan
322,MSKY,MNC Sky Vision Tbk.,1.994.370.480,Pengembangan
323,MTDL,Metrodata Electronics Tbk.,12.276.884.585,Utama
324,MTFN,Capitalinc Investment Tbk.,31.842.082.852,Pemantauan Khusus
325,MTLA,Metropolitan Land Tbk.,7.655.126.330,Utama
326,MTSM,Metro Realty Tbk.,232.848.000,Pemantauan Khusus
327,MYOH,Samindo Resources Tbk.,2.206.312.500,Utama
328,MYOR,Mayora Indah Tbk.,22.358.699.725,Utama
329,MYRX,Hanson International Tbk.,86.703.220.792,Pemantauan Khusus
330,MYTX,Asia Pacific Investama Tbk.,7.747.281.949,Pemantauan Khusus
331,NELY,Pelayaran Nelly Dwi Putri Tbk.,2.350.000.000,Pengembangan
332,NIKL,Pelat Timah Nusantara Tbk.,2.523.350.000,Pengembangan
333,NIPS,Nipress Tbk.,1.635.333.332,Pemantauan Khusus
334,NIRO,City Retail Developments Tbk.,22.198.871.804,Pengembangan
335,NISP,Bank OCBC NISP Tbk.,22.715.776.032,Utama
336,NOBU,Bank Nationalnobu Tbk.,7.403.659.460,Pengembangan
337,NRCA,Nusa Raya Cipta Tbk.,2.496.258.344,Pengembangan
338,OCAP,Onix Capital Tbk.,273.200.000,Pemantauan Khusus
339,OKAS,Ancora Indonesia Resources Tbk,2.373.449.165,Pengembangan
340,OMRE,Indonesia Prima Property Tbk,2.945.211.000,Pemantauan Khusus
341,PADI,Minna Padi Investama Sekuritas,11.307.246.524,Pemantauan Khusus
342,PALM,Provident Investasi Bersama Tb,15.773.797.158,Pengembangan
343,PANR,Panorama Sentrawisata Tbk.,1.387.500.000,Utama
344,PANS,Panin Sekuritas Tbk.,720.000.000,Utama
345,PBRX,Pan Brothers Tbk.,21.482.028.246,Pemantauan Khusus
346,PDES,Destinasi Tirta Nusantara Tbk,715.000.000,Pengembangan
347,PEGE,Panca Global Kapital Tbk.,2.833.417.056,Pengembangan
348,PGAS,Perusahaan Gas Negara Tbk.,24.241.508.196,Utama
349,PGLI,Pembangunan Graha Lestari Inda,488.000.000,Pengembangan
350,PICO,Pelangi Indah Canindo Tbk,568.375.000,Pengembangan
351,PJAA,Pembangunan Jaya Ancol Tbk.,1.599.999.996,Pengembangan
352,PKPK,Perdana Karya Perkasa Tbk,1.200.000.000,Pengembangan
353,PLAS,Polaris Investama Tbk,1.184.200.000,Pemantauan Khusus
354,PLIN,Plaza Indonesia Realty Tbk.,3.550.000.000,Pemantauan Khusus
355,PNBN,Bank Pan Indonesia Tbk,23.837.645.998,Utama
356,PNBS,Bank Panin Dubai Syariah Tbk.,38.425.504.906,Pengembangan
357,PNIN,Paninvest Tbk.,4.068.323.920,Utama
358,PNLF,Panin Financial Tbk.,32.022.073.293,Utama
359,PNSE,Pudjiadi & Sons Tbk.,797.813.496,Pengembangan
360,POLY,Asia Pacific Fibers Tbk,2.495.753.334,Pemantauan Khusus
361,POOL,Pool Advista Indonesia Tbk.,2.341.366.264,Pemantauan Khusus
362,PPRO,PP Properti Tbk.,61.675.671.883,Pemantauan Khusus
363,PRAS,Prima Alloy Steel Universal Tb,701.043.478,Pemantauan Khusus
364,PSAB,J Resources Asia Pasifik Tbk.,26.460.000.000,Pengembangan
365,PSDN,Prasidha Aneka Niaga Tbk,1.440.000.000,Pengembangan
366,PSKT,Red Planet Indonesia Tbk.,10.351.231.636,Pemantauan Khusus
367,PTBA,Bukit Asam Tbk.,11.520.659.250,Utama
